Symbol,Date,Expiry,Option Type,Strike Price,Open,Prev_BN_CP,BankNifty_OP,Change_In_BN,Prev_Close
BANKNIFTY,6-Mar-19,7-Mar-19,CE,26400,1177.35,27554.05,27618.1,64.05,1125
BANKNIFTY,6-Mar-19,7-Mar-19,CE,27300,329.6,27554.05,27618.1,64.05,291.95
BANKNIFTY,6-Mar-19,7-Mar-19,CE,27400,234.9,27554.05,27618.1,64.05,212.85
BANKNIFTY,6-Mar-19,7-Mar-19,CE,27500,164,27554.05,27618.1,64.05,146.5
BANKNIFTY,6-Mar-19,7-Mar-19,CE,27600,123.8,27554.05,27618.1,64.05,93.85
BANKNIFTY,6-Mar-19,7-Mar-19,CE,26500,1065,27554.05,27618.1,64.05,1033.55
BANKNIFTY,6-Mar-19,7-Mar-19,CE,26600,968.9,27554.05,27618.1,64.05,925.35
BANKNIFTY,6-Mar-19,7-Mar-19,CE,26700,893.6,27554.05,27618.1,64.05,839.55
BANKNIFTY,6-Mar-19,7-Mar-19,CE,26800,774.55,27554.05,27618.1,64.05,746.7
BANKNIFTY,6-Mar-19,7-Mar-19,CE,26900,650,27554.05,27618.1,64.05,652.5
BANKNIFTY,6-Mar-19,7-Mar-19,CE,27000,599.6,27554.05,27618.1,64.05,558.9
BANKNIFTY,6-Mar-19,7-Mar-19,CE,27100,499,27554.05,27618.1,64.05,465.7
BANKNIFTY,6-Mar-19,7-Mar-19,CE,27200,403.35,27554.05,27618.1,64.05,377.5
BANKNIFTY,6-Mar-19,7-Mar-19,CE,26000,1563.8,27554.05,27618.1,64.05,1534.55
BANKNIFTY,6-Mar-19,7-Mar-19,CE,26100,1505,27554.05,27618.1,64.05,1435.75
BANKNIFTY,6-Mar-19,7-Mar-19,CE,26200,1431.05,27554.05,27618.1,64.05,1236.8
BANKNIFTY,6-Mar-19,7-Mar-19,CE,26300,1295.55,27554.05,27618.1,64.05,1242.95
BANKNIFTY,6-Mar-19,14-Mar-19,CE,26000,1650,27554.05,27618.1,64.05,1542
